agency	date	cost
Virginia Commonwealth University	2015-03-24	27591354.556
Virginia Commonwealth University	2008-02-26	170812.7
Virginia Commonwealth University	2011-05-31	477532.3168
Virginia Commonwealth University	2013-07-01	215978.728
Virginia Commonwealth University	2009-05-26	394087.91
Virginia Commonwealth University	2011-02-20	54191.3012
Virginia Commonwealth University	2009-08-30	18678650.5625
Virginia Commonwealth University	2008-04-02	273434.425
Virginia Commonwealth University	2012-10-03	238231.0906
Virginia Commonwealth University	2014-11-02	9764.246
Virginia Commonwealth University	2009-06-15	2700561.568
Virginia Commonwealth University	2010-04-13	1155853.1698
Virginia Commonwealth University	2007-06-30	2926
Virginia Commonwealth University	2013-09-12	680137.601
Virginia Commonwealth University	2013-03-13	1466309.19
Virginia Commonwealth University	2005-09-29	667066.23
Virginia Commonwealth University	2015-04-01	1077797.776
Virginia Commonwealth University	2011-10-12	275572.6438
Virginia Commonwealth University	2009-04-30	797167.189
Virginia Commonwealth University	2014-01-08	29273627.444
Virginia Commonwealth University	2007-11-14	1012547.84
Virginia Commonwealth University	2009-09-28	249925.01
Virginia Commonwealth University	2006-03-08	81549.51
Virginia Commonwealth University	2006-09-07	688307.22
Virginia Commonwealth University	2005-07-21	223682.32
Virginia Commonwealth University	2010-05-14	2448988.78
Virginia Commonwealth University	2012-05-06	32918.969
Virginia Commonwealth University	2014-01-16	2212268.715
Virginia Commonwealth University	2014-09-14	40701.93
Virginia Commonwealth University	2007-09-10	258035.73
Virginia Commonwealth University	2008-06-18	275648.77
Virginia Commonwealth University	2010-02-19	157700.83
Virginia Commonwealth University	2015-02-09	643081.538
Virginia Commonwealth University	2011-01-23	11038.462
Virginia Commonwealth University	2008-12-20	701.56
Virginia Commonwealth University	2010-07-15	161581.01
Virginia Commonwealth University	2007-08-02	329731.73
Virginia Commonwealth University	2008-04-16	295128.186
Virginia Commonwealth University	2014-01-03	1579011.35
Virginia Commonwealth University	2009-03-12	545194.5461
Virginia Commonwealth University	2006-11-06	97170.48
Virginia Commonwealth University	2004-11-10	306.77
Virginia Commonwealth University	2009-09-17	329710.98
Virginia Commonwealth University	2009-08-21	212419.72
Virginia Commonwealth University	2011-01-27	225159.133
Virginia Commonwealth University	2014-09-13	16194095.9
Virginia Commonwealth University	2009-11-27	7046
Virginia Commonwealth University	2012-08-19	325186.01
Virginia Commonwealth University	2008-11-22	134.97
Virginia Commonwealth University	2006-11-15	261019.923
Virginia Commonwealth University	2007-12-04	395976.81
Virginia Commonwealth University	2006-12-28	685.6
Virginia Commonwealth University	2009-02-13	275228.69
Virginia Commonwealth University	2013-02-03	2134.62
Virginia Commonwealth University	2013-03-07	610290.21
Virginia Commonwealth University	2008-03-28	272053.61
Virginia Commonwealth University	2014-04-08	1520569.4276
Virginia Commonwealth University	2011-11-12	120.05
Virginia Commonwealth University	2011-10-19	265398.596
Virginia Commonwealth University	2012-06-20	493409.21
Virginia Commonwealth University	2007-03-21	5241894.798
Virginia Commonwealth University	2008-11-07	251389.3562
Virginia Commonwealth University	2009-04-14	706602.1
Virginia Commonwealth University	2008-04-10	319995.4
Virginia Commonwealth University	2008-04-23	614233.92
Virginia Commonwealth University	2009-03-08	1517.63
Virginia Commonwealth University	2012-04-11	229085.087
Virginia Commonwealth University	2012-07-27	339672.15
Virginia Commonwealth University	2009-07-02	745003
Virginia Commonwealth University	2015-03-16	2448344.476
Virginia Commonwealth University	2009-12-05	14364.48
Virginia Commonwealth University	2006-06-16	328641.11
Virginia Commonwealth University	2009-01-29	212710.7266
Virginia Commonwealth University	2013-05-09	634992.424
Virginia Commonwealth University	2015-01-14	2104449.2
Virginia Commonwealth University	2007-09-04	203133.416
Virginia Commonwealth University	2008-03-05	609189.178
Virginia Commonwealth University	2013-12-29	763.64
Virginia Commonwealth University	2011-10-31	495764.211
Virginia Commonwealth University	2005-07-27	688180.15
Virginia Commonwealth University	2010-07-25	1056.38
Virginia Commonwealth University	2013-07-26	675045.85
Virginia Commonwealth University	2012-07-13	1495119.43
Virginia Commonwealth University	2008-07-18	1511757.17
Virginia Commonwealth University	2010-05-26	862239.25
Virginia Commonwealth University	2007-05-20	250
Virginia Commonwealth University	2007-05-08	294613.74
Virginia Commonwealth University	2008-11-12	3852104.4
Virginia Commonwealth University	2009-07-31	428074.71
Virginia Commonwealth University	2010-03-29	532413.435
Virginia Commonwealth University	2010-08-31	176321.45
Virginia Commonwealth University	2009-07-22	250032.344
Virginia Commonwealth University	2009-07-24	529091.884
Virginia Commonwealth University	2006-04-18	2284044.11
Virginia Commonwealth University	2006-02-08	472066.945
Virginia Commonwealth University	2007-01-16	400046.453
Virginia Commonwealth University	2010-02-15	268958.0153
Virginia Commonwealth University	2014-05-25	10063.271
Virginia Commonwealth University	2013-10-15	362764.99
Virginia Commonwealth University	2012-07-30	239947.92
Virginia Commonwealth University	2014-03-11	1610106.292
Virginia Commonwealth University	2005-10-06	104645.42
Virginia Commonwealth University	2011-12-22	220156.375
Virginia Commonwealth University	2010-05-23	29585.15
Virginia Commonwealth University	2012-11-02	251574.19
Virginia Commonwealth University	2006-09-06	1564845.89
Virginia Commonwealth University	2008-02-16	1674.64
Virginia Commonwealth University	2012-04-16	271567.886
Virginia Commonwealth University	2009-02-27	5265974.64
Virginia Commonwealth University	2011-02-21	864026.0849
Virginia Commonwealth University	2013-10-05	17000
Virginia Commonwealth University	2014-05-20	1636236.625
Virginia Commonwealth University	2008-08-30	1475
Virginia Commonwealth University	2006-11-22	29434.34
Virginia Commonwealth University	2008-08-19	263322.25
Virginia Commonwealth University	2012-09-26	946845.4988
Virginia Commonwealth University	2005-12-16	501221.5
Virginia Commonwealth University	2009-04-20	433547.6018
Virginia Commonwealth University	2014-10-27	331730.87
Virginia Commonwealth University	2008-11-09	3502.75
Virginia Commonwealth University	2008-05-01	840240.82
Virginia Commonwealth University	2007-05-30	333150.02
Virginia Commonwealth University	2004-08-03	2160
Virginia Commonwealth University	2011-08-25	187752.112
Virginia Commonwealth University	2011-05-01	25633.306
Virginia Commonwealth University	2005-10-11	950468.262
Virginia Commonwealth University	2013-10-07	479268.24
Virginia Commonwealth University	2006-01-11	516228.818
Virginia Commonwealth University	2008-05-28	669080.55
Virginia Commonwealth University	2009-03-05	280458.8028
Virginia Commonwealth University	2013-01-10	216876.191
Virginia Commonwealth University	2006-03-29	188857.5356
Virginia Commonwealth University	2014-12-27	364.25
Virginia Commonwealth University	2007-05-10	3064434.498
